Season,Lg,Tm,C,F,F,G,G
2000-01,NBA,1st,Shaquille O'Neal,Tim Duncan,Chris Webber,Allen Iverson,Jason Kidd
2000-01,NBA,2nd,Dikembe Mutombo,Vince Carter,Kevin Garnett,Kobe Bryant,Tracy McGrady
2000-01,NBA,3rd,David Robinson,Karl Malone,Dirk Nowitzki,Ray Allen,Gary Payton
1999-00,NBA,1st,Shaquille O'Neal,Tim Duncan,Kevin Garnett,Jason Kidd,Gary Payton
1999-00,NBA,2nd,Alonzo Mourning,Grant Hill,Karl Malone,Kobe Bryant,Allen Iverson
1999-00,NBA,3rd,David Robinson,Vince Carter,Chris Webber,Eddie Jones,Stephon Marbury
1998-99,NBA,1st,Alonzo Mourning,Tim Duncan,Karl Malone,Allen Iverson,Jason Kidd
1998-99,NBA,2nd,Shaquille O'Neal,Grant Hill,Chris Webber,Tim Hardaway,Gary Payton
1998-99,NBA,3rd,Hakeem Olajuwon,Kevin Garnett,Antonio McDyess,Kobe Bryant,John Stockton
1997-98,NBA,1st,Shaquille O'Neal,Tim Duncan,Karl Malone,Michael Jordan,Gary Payton
1997-98,NBA,2nd,David Robinson,Vin Baker,Grant Hill,Tim Hardaway,Rod Strickland
1997-98,NBA,3rd,Dikembe Mutombo,Scottie Pippen,Glen Rice,Reggie Miller,Mitch Richmond
1996-97,NBA,1st,Hakeem Olajuwon,Grant Hill,Karl Malone,Tim Hardaway,Michael Jordan
1996-97,NBA,2nd,Patrick Ewing,Scottie Pippen,Glen Rice,Gary Payton,Mitch Richmond
1996-97,NBA,3rd,Shaquille O'Neal,Vin Baker,Anthony Mason,Anfernee Hardaway,John Stockton
1995-96,NBA,1st,David Robinson,Karl Malone,Scottie Pippen,Anfernee Hardaway,Michael Jordan
1995-96,NBA,2nd,Hakeem Olajuwon,Grant Hill,Shawn Kemp,Gary Payton,John Stockton
1995-96,NBA,3rd,Shaquille O'Neal,Charles Barkley,Juwan Howard,Reggie Miller,Mitch Richmond
1994-95,NBA,1st,David Robinson,Karl Malone,Scottie Pippen,Anfernee Hardaway,John Stockton
1994-95,NBA,2nd,Shaquille O'Neal,Charles Barkley,Shawn Kemp,Gary Payton,Mitch Richmond
1994-95,NBA,3rd,Hakeem Olajuwon,Dennis Rodman,Detlef Schrempf,Clyde Drexler,Reggie Miller
1993-94,NBA,1st,Hakeem Olajuwon,Karl Malone,Scottie Pippen,Latrell Sprewell,John Stockton
1993-94,NBA,2nd,David Robinson,Charles Barkley,Shawn Kemp,Kevin Johnson,Mitch Richmond
1993-94,NBA,3rd,Shaquille O'Neal,Derrick Coleman,Dominique Wilkins,Gary Payton,Mark Price
1992-93,NBA,1st,Hakeem Olajuwon,Charles Barkley,Karl Malone,Michael Jordan,Mark Price
1992-93,NBA,2nd,Patrick Ewing,Larry Johnson,Dominique Wilkins,Joe Dumars,John Stockton
1992-93,NBA,3rd,David Robinson,Derrick Coleman,Scottie Pippen,Tim Hardaway,Dra?en Petrovi?
1991-92,NBA,1st,David Robinson,Karl Malone,Chris Mullin,Clyde Drexler,Michael Jordan
1991-92,NBA,2nd,Patrick Ewing,Charles Barkley,Scottie Pippen,Tim Hardaway,John Stockton
1991-92,NBA,3rd,Brad Daugherty,Dennis Rodman,Kevin Willis,Kevin Johnson,Mark Price
1990-91,NBA,1st,David Robinson,Charles Barkley,Karl Malone,Magic Johnson,Michael Jordan
1990-91,NBA,2nd,Patrick Ewing,Chris Mullin,Dominique Wilkins,Clyde Drexler,Kevin Johnson
1990-91,NBA,3rd,Hakeem Olajuwon,Bernard King,James Worthy,Joe Dumars,John Stockton
1989-90,NBA,1st,Patrick Ewing,Charles Barkley,Karl Malone,Magic Johnson,Michael Jordan
1989-90,NBA,2nd,Hakeem Olajuwon,Larry Bird,Tom Chambers,Kevin Johnson,John Stockton
1989-90,NBA,3rd,David Robinson,Chris Mullin,James Worthy,Clyde Drexler,Joe Dumars
1988-89,NBA,1st,Hakeem Olajuwon,Charles Barkley,Karl Malone,Magic Johnson,Michael Jordan
1988-89,NBA,2nd,Patrick Ewing,Tom Chambers,Chris Mullin,Kevin Johnson,John Stockton
1988-89,NBA,3rd,Robert Parish,Terry Cummings,Dominique Wilkins,Dale Ellis,Mark Price
1987-88,NBA,1st,Hakeem Olajuwon,Charles Barkley,Larry Bird,Magic Johnson,Michael Jordan
1987-88,NBA,2nd,Patrick Ewing,Karl Malone,Dominique Wilkins,Clyde Drexler,John Stockton
1986-87,NBA,1st,Hakeem Olajuwon,Larry Bird,Kevin McHale,Magic Johnson,Michael Jordan
1986-87,NBA,2nd,Moses Malone,Charles Barkley,Dominique Wilkins,Fat Lever,Isiah Thomas
1985-86,NBA,1st,Kareem Abdul-Jabbar,Larry Bird,Dominique Wilkins,Magic Johnson,Isiah Thomas
1985-86,NBA,2nd,Hakeem Olajuwon,Charles Barkley,Alex English,Sidney Moncrief,Alvin Robertson
1984-85,NBA,1st,Moses Malone,Larry Bird,Bernard King,Magic Johnson,Isiah Thomas
1984-85,NBA,2nd,Kareem Abdul-Jabbar,Terry Cummings,Ralph Sampson,Michael Jordan,Sidney Moncrief
1983-84,NBA,1st,Kareem Abdul-Jabbar,Larry Bird,Bernard King,Magic Johnson,Isiah Thomas
1983-84,NBA,2nd,Moses Malone,Adrian Dantley,Julius Erving,Sidney Moncrief,Jim Paxson
1982-83,NBA,1st,Moses Malone,Larry Bird,Julius Erving,Magic Johnson,Sidney Moncrief
1982-83,NBA,2nd,Kareem Abdul-Jabbar,Alex English,Buck Williams,George Gervin,Isiah Thomas
1981-82,NBA,1st,Moses Malone,Larry Bird,Julius Erving,George Gervin,Gus Williams
1981-82,NBA,2nd,Robert Parish,Alex English,Bernard King,Magic Johnson,Sidney Moncrief
1980-81,NBA,1st,Kareem Abdul-Jabbar,Larry Bird,Julius Erving,George Gervin,Dennis Johnson
1980-81,NBA,2nd,Moses Malone,Adrian Dantley,Marques Johnson,Tiny Archibald,Otis Birdsong
1979-80,NBA,1st,Kareem Abdul-Jabbar,Larry Bird,Julius Erving,George Gervin,Paul Westphal
1979-80,NBA,2nd,Moses Malone,Marques Johnson,Dan Roundfield,Dennis Johnson,Gus Williams
1978-79,NBA,1st,Moses Malone,Elvin Hayes,Marques Johnson,George Gervin,Paul Westphal
1978-79,NBA,2nd,Kareem Abdul-Jabbar,Bob Dandridge,Walter Davis,Phil Ford,World B. Free
1977-78,NBA,1st,Bill Walton,Julius Erving,Truck Robinson,George Gervin,David Thompson
1977-78,NBA,2nd,Kareem Abdul-Jabbar,Walter Davis,Maurice Lucas,Pete Maravich,Paul Westphal
